Customer_ID,Age,Gender,Income,Marital_Status,Education,Occupation,Location,Annual_Spending,Purchase_Frequency,Average_Order_Value,Product_Category_Preference,Last_Purchase_Days,Online_Purchases,Store_Purchases,Customer_Value_Score,Purchase_Intensity,Recency_Score,Engagement_Score,RFM_Recency,RFM_Frequency,RFM_Monetary,RFM_Score,RFM_Segment,Cluster,Assigned_Segment
CUST-00001,35,Male,72135.35,Married,High School,Technician,Suburban,874.73,1,844.55,Fashion,364,0,0,22.67666666666667,874.73,1.3916666666666668,0.99125,1,1,1,3,Low Value,0,At-Risk Customers
CUST-00002,48,Female,68961.75,Divorced,Master,Professional,Urban,3823.54,32,136.09,Sports,124,14,16,50.14666666666666,119.485625,27.425,58.46374999999999,2,4,3,9,Developing,1,Occasional Buyers
CUST-00003,42,Male,109738.28,Single,High School,Technician,Urban,5847.8,37,190.4,Fashion,67,33,3,69.45416666666667,158.04864864864865,50.44166666666666,73.31916666666667,3,5,4,12,Loyal,1,Occasional Buyers
CUST-00004,31,Female,39065.31,Married,Master,Service,Urban,1794.61,13,166.51,Groceries,104,5,8,26.0875,138.04692307692306,34.625,30.440833333333327,2,2,2,6,Low Value,2,Budget Shoppers
CUST-00005,47,Female,130393.49,Single,Master,Manager,Urban,10661.64,40,268.4,Beauty,30,20,19,89.07166666666667,266.541,79.46666666666667,86.22333333333334,4,5,5,14,Champions,3,Premium Loyalists
CUST-00006,22,Male,87727.65,Married,Bachelor,Technician,Suburban,7543.67,35,219.98,Electronics,45,25,9,77.44083333333333,215.53342857142857,65.11666666666667,76.22958333333332,4,5,5,14,Champions,1,Occasional Buyers
CUST-00007,57,Female,67152.45,Married,High School,Manager,Urban,1727.74,1,1420.16,Home,304,0,0,29.815,1727.74,3.916666666666667,1.875,1,1,1,3,Low Value,0,At-Risk Customers
CUST-00008,20,Female,76602.92,Divorced,Master,Service,Rural,120.0,8,15.0,Groceries,256,1,8,4.437499999999999,15.0,7.000000000000001,12.052083333333332,1,1,1,3,Low Value,2,Budget Shoppers
CUST-00009,57,Female,132979.72,Married,Bachelor,Technician,Urban,13696.8,48,258.02,Fashion,26,22,25,92.9825,285.34999999999997,83.22500000000001,92.25,5,5,5,15,Champions,3,Premium Loyalists
CUST-00010,36,Female,70890.05,Single,Bachelor,Professional,Urban,3922.59,20,163.13,Fashion,40,13,9,44.07083333333333,196.1295,69.33333333333334,55.55708333333334,4,3,3,10,Loyal,1,Occasional Buyers
CUST-00011,34,Female,69334.08,Single,High School,Manager,Urban,4817.15,20,179.47,Home,115,10,12,50.7675,240.8575,30.541666666666668,41.980000000000004,2,3,3,8,Developing,1,Occasional Buyers
CUST-00012,19,Male,94952.57,Married,Bachelor,Service,Urban,6119.99,37,177.45,Fashion,1,31,7,69.68416666666666,165.40513513513514,98.08333333333333,90.62541666666667,5,5,4,14,Champions,1,Occasional Buyers
CUST-00013,37,Male,52160.07,Married,Bachelor,Student,Urban,1930.53,8,212.96,Sports,174,2,4,27.1225,241.31625,15.516666666666667,13.58625,1,1,2,4,Low Value,2,Budget Shoppers
CUST-00014,55,Male,33935.39,Married,Bachelor,Technician,Urban,1649.05,7,217.38,Groceries,321,0,6,23.993333333333336,235.57857142857142,2.9499999999999997,8.156666666666668,1,1,1,3,Low Value,2,Budget Shoppers
CUST-00015,29,Male,72547.34,Divorced,High School,Retired,Urban,5252.57,18,318.33,Groceries,169,9,10,59.9475,291.8094444444444,16.40833333333333,33.1875,1,3,4,8,Developing,2,Budget Shoppers
CUST-00016,45,Female,75150.61,Married,High School,Entrepreneur,Suburban,3721.0,21,151.74,Fashion,163,10,11,42.72,177.1904761904762,17.258333333333333,37.892916666666665,1,3,3,7,Developing,2,Budget Shoppers
CUST-00017,28,Male,56214.31,Married,High School,Manager,Urban,1561.52,8,198.83,Fashion,145,4,3,22.084166666666665,195.19,21.241666666666667,16.013333333333335,2,1,1,4,Low Value,2,Budget Shoppers
CUST-00018,28,Female,158863.8,Married,Master,Technician,Suburban,10138.11,38,183.79,Home,69,14,24,81.32666666666665,266.79236842105263,49.35,74.24,3,5,5,13,Champions,3,Premium Loyalists
CUST-00019,34,Female,39467.0,Single,Master,Retired,Urban,339.24,10,36.82,Fashion,365,2,10,6.948333333333332,33.924,0.6916666666666667,14.015416666666667,1,1,1,3,Low Value,2,Budget Shoppers
CUST-00020,39,Female,32886.25,Divorced,Master,Technician,Urban,2549.0,12,204.14,Beauty,79,4,6,34.98,212.41666666666666,44.78333333333334,30.938333333333333,3,2,2,7,Developing,2,Budget Shoppers
CUST-00021,63,Female,46857.7,Married,High School,Service,Urban,1108.47,6,187.98,Books,181,2,3,15.9325,184.745,14.274999999999999,10.644166666666667,1,1,1,3,Low Value,2,Budget Shoppers
CUST-00022,47,Male,94997.8,Single,Master,Retired,Urban,4282.76,21,168.41,Home,109,11,10,47.096666666666664,203.94095238095238,32.53333333333333,43.23916666666666,2,3,3,8,Developing,1,Occasional Buyers
CUST-00023,35,Male,57655.26,Divorced,PhD,Service,Urban,7304.08,30,212.54,Electronics,6,23,7,72.97833333333334,243.46933333333334,94.85833333333333,80.17541666666666,5,4,5,14,Champions,1,Occasional Buyers
CUST-00024,25,Female,78678.83,Married,Master,Professional,Suburban,5183.74,14,427.45,Fashion,28,10,5,58.468333333333334,370.26714285714286,81.27499999999999,49.14791666666666,5,2,4,11,Loyal,1,Occasional Buyers
CUST-00025,43,Female,40278.49,Married,High School,Retired,Urban,1991.84,8,229.96,Fashion,251,2,5,28.92416666666666,248.98,7.466666666666668,11.192083333333334,1,1,2,4,Low Value,2,Budget Shoppers
CUST-00026,50,Female,44752.39,Married,Master,Technician,Urban,4223.89,15,339.41,Home,84,6,11,51.85166666666666,281.5926666666667,42.46666666666667,37.93833333333333,3,2,3,8,Developing,2,Budget Shoppers
CUST-00027,18,Male,71139.2,Divorced,Bachelor,Manager,Urban,5811.62,13,459.34,Groceries,76,8,5,61.30916666666667,447.0476923076923,46.125,34.46583333333333,3,2,4,9,Developing,1,Occasional Buyers
CUST-00028,39,Female,121328.25,Married,Bachelor,Technician,Urban,9194.39,45,217.91,Fashion,13,21,25,84.96833333333333,204.31977777777777,91.925,94.33458333333333,5,5,5,15,Champions,3,Premium Loyalists
CUST-00029,25,Female,177322.89,Single,Bachelor,Retired,Suburban,7796.43,47,153.51,Home,15,27,19,76.48166666666665,165.88148936170214,90.8,94.54833333333333,5,5,5,15,Champions,3,Premium Loyalists
CUST-00030,39,Female,34679.04,Single,PhD,Entrepreneur,Urban,2865.35,11,261.13,Groceries,159,4,6,39.59083333333333,260.48636363636365,18.166666666666668,20.291249999999998,1,2,2,5,Low Value,2,Budget Shoppers
CUST-00031,48,Male,80156.29,Single,High School,Student,Urban,1230.11,14,86.21,Home,223,3,9,15.925,87.865,9.541666666666666,22.362916666666667,1,2,1,4,Low Value,2,Budget Shoppers
